ADDITIONAL_TEXT;ID_LANGUAGE;PARAMETER_NUMBER;ERROR_TEXT;INVOKE_TYPE
energy.status.temppro.er;1;0;Fallo sondas de temperatura;energy
energy.status.temppro.er;5;0;Temperature probes fault;energy
energy.status.temppro.ok;1;0;Sondas de temperatura OK;energy
energy.status.temppro.ok;5;0;Temperature probes OK;energy
fer.Elem_no_data_available_APP_SEQNUM_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Incorrecto número de secuencia de la aplicación recibido de la IFB.;clc
fer.Elem_no_data_available_APP_SEQNUM_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong application sequence number received from IFB.;clc
fer.Elem_no_data_available_CMDACK_TIMEOUT_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Reconocimiento recibido de la IFB fuera del rango de tiempo permitido.;clc
fer.Elem_no_data_available_CMDACK_TIMEOUT_ERR;5;2;%1% - No Data Available for element %2%. Cause: ACK received out of time from IFB.;clc
fer.Elem_no_data_available_CH_SEQNUM_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Incorrecto número de secuencia del canal recibido de la IFB.;clc
fer.Elem_no_data_available_CH_SEQNUM_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong channel sequence number received from IFB.;clc
fer.Elem_no_data_available_CHECKSUM_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: CRC no válido recibido de la IFB.;clc
fer.Elem_no_data_available_CHECKSUM_ERR;5;2;%1% - No Data Available for element %2%. Cause: Invalid CRC received from IFB.;clc
fer.Elem_no_data_available_IND_TIMEOUT_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Indicación recibida de la IFB fuera del rango de tiempo permitido.;clc
fer.Elem_no_data_available_IND_TIMEOUT_ERR;5;2;%1% - No Data Available for element %2%. Cause: Indication received out of time from IFB.;clc
fer.Elem_no_data_available_INPUTRESULT_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Resultado erróneo de las entradas de la IFB.;clc
fer.Elem_no_data_available_INPUTRESULT_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong result from IFB inputs.;clc
fer.Elem_no_data_available_INTERNAL_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Error interno en la IFB.;clc
fer.Elem_no_data_available_INTERNAL_ERR;5;2;%1% - No Data Available for element %2%. Cause: Internal error in IFB.;clc
fer.Elem_no_data_available_INVALID_EL_NUM_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Número de elemento recibido erróneo.;clc
fer.Elem_no_data_available_INVALID_EL_NUM_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong element number received.;clc
fer.Elem_no_data_available_INVALID_MASK_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: La máscara de entrada recibida para un campo es no válida.;clc
fer.Elem_no_data_available_INVALID_MASK_ERR;5;2;%1% - No Data Available for element %2%. Cause: Input mask received from field not valid.;clc
fer.Elem_no_data_available_INVALIDCOM_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Comando no válido recibido de la IFB.;clc
fer.Elem_no_data_available_INVALIDCOM_ERR;5;2;%1% - No Data Available for element %2%. Cause: Invalid command received from IFB.;clc
fer.Elem_no_data_available_LIFETICK_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Mensaje de vida no recibido de la IFB.;clc
fer.Elem_no_data_available_LIFETICK_ERR;5;2;%1% - No Data Available for element %2%. Cause: Life message not received from IFB.;clc
fer.Elem_no_data_available_MON_CMD_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Comando erróneo recibido de la herramienta de monitorización.;clc
fer.Elem_no_data_available_MON_CMD_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong command received from monitor tool.;clc
fer.Elem_no_data_available_NO_IFB_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: No es un error de la IFB.;clc
fer.Elem_no_data_available_NO_IFB_ERR;5;2;%1% - No Data Available for element %2%. Cause: No error in IFB.;clc
fer.Elem_no_data_available_RUNLEVEL_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Valor de runlevel incorrecto para la IFB.;clc
fer.Elem_no_data_available_RUNLEVEL_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong runlevel value for the IFB.;clc
fer.Elem_no_data_available_SEQNUM_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Incorrecto número de secuencia recibido de la IFB.;clc
fer.Elem_no_data_available_SEQNUM_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong sequence number from IFB.;clc
fer.Elem_no_data_available_UNK_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Error desconocido en la IFB.;clc
fer.Elem_no_data_available_UNK_ERR;5;2;%1% - No Data Available for element %2%. Cause: Error not known in IFB.;clc
fer.Elem_no_data_available_VALUERESULT_ERR;1;2;%1% - Datos no disponibles para el elemento %2%. Causa: Resultado erróneo recibido de la IFB.;clc
fer.Elem_no_data_available_VALUERESULT_ERR;5;2;%1% - No Data Available for element %2%. Cause: Wrong result received from IFB.;clc
fer.Elem_OK;1;2;%1% - El elemento %2% está OK.;clc
fer.Elem_OK;5;2;%1% - Element %2% is OK.;clc
fer.IFB_ch_state_CON_chann0_DO_chann1_DO;1;2;El estado de la conexión entre el %1% e IFB %2% es ACTIVA (subcanal A SIN CONEXIÓN y subcanal B SIN CONEXIÓN).;clc
fer.IFB_ch_state_CON_chann0_DO_chann1_DO;5;2;The status connection between %1% and IFB %2% is UP (subchannel A DOWN and subchannel B DOWN).;clc
fer.IFB_ch_state_CON_chann0_DO_chann1_UP;1;2;El estado de la conexión entre el %1% e IFB %2% es ACTIVA (subcanal A SIN CONEXIÓN y subcanal B ACTIVO).;clc
fer.IFB_ch_state_CON_chann0_DO_chann1_UP;5;2;The status connection between %1% and IFB %2% is UP (subchannel A DOWN and subchannel B UP).;clc
fer.IFB_ch_state_CON_chann0_UP_chann1_DO;1;2;El estado de la conexión entre el %1% e IFB %2% es ACTIVA (subcanal A ACTIVO y subcanal B SIN CONEXIÓN).;clc
fer.IFB_ch_state_CON_chann0_UP_chann1_DO;5;2;The status connection between %1% and IFB %2% is UP (subchannel A UP and subchannel B DOWN).;clc
fer.IFB_ch_state_CON_chann0_UP_chann1_UP;1;2;El estado de la conexión entre el %1% e IFB %2% es ACTIVA (subcanal A ACTIVO y subcanal B ACTIVO).;clc
fer.IFB_ch_state_CON_chann0_UP_chann1_UP;5;2;The status connection between %1% and IFB %2% is UP (subchannel A UP and subchannel B UP).;clc
fer.IFB_ch_state_DIS_chann0_DO_chann1_DO;1;2;El estado de la conexión entre el %1% e IFB %2% es SIN CONEXIÓN (subcanal A SIN CONEXIÓN y subcanal B SIN CONEXIÓN).;clc
fer.IFB_ch_state_DIS_chann0_DO_chann1_DO;5;2;The status connection between %1% and IFB %2% is DOWN (subchannel A DOWN and subchannel B DOWN).;clc
fer.IFB_ch_state_DIS_chann0_DO_chann1_UP;1;2;El estado de la conexión entre el %1% e IFB %2% es SIN CONEXIÓN (subcanal A SIN CONEXIÓN y subcanal B ACTIVO).;clc
fer.IFB_ch_state_DIS_chann0_DO_chann1_UP;5;2;The status connection between %1% and IFB %2% is DOWN (subchannel A DOWN and subchannel B UP).;clc
fer.IFB_ch_state_DIS_chann0_UP_chann1_DO;1;2;El estado de la conexión entre el %1% e IFB %2% es SIN CONEXIÓN (subcanal A ACTIVO y subcanal B SIN CONEXIÓN).;clc
fer.IFB_ch_state_DIS_chann0_UP_chann1_DO;5;2;The status connection between %1% and IFB %2% is DOWN (subchannel A UP and subchannel B DOWN).;clc
fer.IFB_ch_state_DIS_chann0_UP_chann1_UP;1;2;El estado de la conexión entre el %1% e IFB %2% es SIN CONEXIÓN (subcanal A ACTIVO y subcanal B ACTIVO).;clc
fer.IFB_ch_state_DIS_chann0_UP_chann1_UP;5;2;The status connection between %1% and IFB %2% is DOWN (subchannel A UP and subchannel B UP).;clc
fer.IFB_status_FAILED_cause_APP_SEQNUMBER_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Número de secuencia de aplicación erróneo recibido de la IFB.;clc
fer.IFB_status_FAILED_cause_APP_SEQNUMBER_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Wrong application sequence number received from IFB.;clc
fer.IFB_status_FAILED_cause_CHAN_SEQNUMBER_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Número de secuencia de canal erróneo recibido de la IFB.;clc
fer.IFB_status_FAILED_cause_CHAN_SEQNUMBER_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Wrong channel sequence number received from IFB.;clc
fer.IFB_status_FAILED_cause_CHECKSUM_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: CRC erróneo recibido de la placa.;clc
fer.IFB_status_FAILED_cause_CHECKSUM_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Wrong CRC received from a board.;clc
fer.IFB_status_FAILED_cause_ERR_ILLFUNC;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Código de función ilegal.;clc
fer.IFB_status_FAILED_cause_ERR_ILLFUNC;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Illegal function code.;clc
fer.IFB_status_FAILED_cause_ERR_SEQ;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Secuencia errónea en el protocolo.;clc
fer.IFB_status_FAILED_cause_ERR_SEQ;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Wrong sequence in protocol.;clc
fer.IFB_status_FAILED_cause_INDICATION_TIMEOUT;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Mensaje de indicación no recibido a tiempo.;clc
fer.IFB_status_FAILED_cause_INDICATION_TIMEOUT;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Indication message not received on time.;clc
fer.IFB_status_FAILED_cause_INIT_PHASE;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: IFB no inicializada.;clc
fer.IFB_status_FAILED_cause_INIT_PHASE;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: IFB not initialized.;clc
fer.IFB_status_FAILED_cause_INPUTRESULT_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Mensaje de indicación erróneo recibido de la IFB.;clc
fer.IFB_status_FAILED_cause_INPUTRESULT_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Wrong indication message received from IFB.;clc
fer.IFB_status_FAILED_cause_INTERNAL_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Error interno en la IFB.;clc
fer.IFB_status_FAILED_cause_INTERNAL_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Internal error in IFB Board.;clc
fer.IFB_status_FAILED_cause_INVALID_ELEM_NUMBER;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Error en el número de elemento.;clc
fer.IFB_status_FAILED_cause_INVALID_ELEM_NUMBER;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Error in element number handled.;clc
fer.IFB_status_FAILED_cause_INVALIDCOM_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Código de tipo de identificación recibido de la placa no válido.;clc
fer.IFB_status_FAILED_cause_INVALIDCOM_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Invalid identification type code received for the board.;clc
fer.IFB_status_FAILED_cause_LIFEACK_ONE_CHANNEL_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Telegrama de vida recibido de un canal no conectado.;clc
fer.IFB_status_FAILED_cause_LIFEACK_ONE_CHANNEL_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Lifeack received from a channel not connected.;clc
fer.IFB_status_FAILED_cause_LIFETICK_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Expiración del tiempo de espera por el telegrama de vida.;clc
fer.IFB_status_FAILED_cause_LIFETICK_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Lifeack timeout expired.;clc
fer.IFB_status_FAILED_cause_RUNLEVEL_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Error en el Runlevel de la placa.;clc
fer.IFB_status_FAILED_cause_RUNLEVEL_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Error in Board Runlevel.;clc
fer.IFB_status_FAILED_cause_VALUERESULT_ERROR;1;2;La IFB %2% conectada al %1% ha cambiado a DESCONECTADA. Causa: Resultado no recibido a tiempo.;clc
fer.IFB_status_FAILED_cause_VALUERESULT_ERROR;5;2;IFB %2% connected to %1% has changed to DISCONNECTED. Cause: Result value not received on time.;clc
fer.IFB_status_OK;1;2;La IFB %2% conectada al %1% ha cambiado a CONECTADA.;clc
fer.IFB_status_OK;5;2;IFB %2% connected to %1% has changed to CONNECTED.;clc
fer.IFB_status_PROTOCOL_cause_CARD;1;2;La IFB %2% conectada al %1% ha cambiado a PROTOCOLO. La placa mandó un mensaje con un error de protocolo peligroso. Causa: Identificador de Tarjeta no válido.;clc
fer.IFB_status_PROTOCOL_cause_CARD;5;2;IFB %2% connected to %1% has changed to PROTOCOL. Board sent a message with dangerous protocol error. Cause: Invalid Card Identification.;clc
fer.IFB_status_PROTOCOL_cause_STATION;1;2;La IFB %2% conectada al %1% ha cambiado a PROTOCOLO. La placa mandó un mensaje con un error de protocolo peligroso. Causa: Conexión recibida de Tarjeta no válida.;clc
fer.IFB_status_PROTOCOL_cause_STATION;5;2;IFB %2% connected to %1% has changed to PROTOCOL. Board sent a message with dangerous protocol error. Cause: Connect received from Invalid Card.;clc
fer.IFB_status_PROTOCOL_cause_WRONG_BOARD_PROJECTED;1;2;La IFB %2% conectada al %1% ha cambiado a PROTOCOLO. La placa mandó un mensaje con un error de protocolo peligroso. Causa: Tipo de placa proyectada para la placa erróneo.;clc
fer.IFB_status_PROTOCOL_cause_WRONG_BOARD_PROJECTED;5;2;IFB %2% connected to %1% has changed to PROTOCOL. Board sent a message with dangerous protocol error. Cause: Wrong Card Type projected for Board.;clc
fer.IFB_status_PROTOCOL_cause_WRONG_LIFEACK;1;2;La IFB %2% conectada al %1% ha cambiado a PROTOCOLO. La placa mandó un mensaje con un error de protocolo peligroso. Causa: Telegrama de vida recibido y ambos canales están desconectados.;clc
fer.IFB_status_PROTOCOL_cause_WRONG_LIFEACK;5;2;IFB %2% connected to %1% has changed to PROTOCOL. Board sent a message with dangerous protocol error. Cause: Lifeack received and both channels are disconnected.;clc
fer.IFB_status_PROTOCOL_cause_WRONG_PID;1;2;La IFB %2% conectada al %1% ha cambiado a PROTOCOLO. La placa mandó un mensaje con un error de protocolo peligroso. Causa: ID de protocolo erróneo para placa proyectada de IO.;clc
fer.IFB_status_PROTOCOL_cause_WRONG_PID;5;2;IFB %2% connected to %1% has changed to PROTOCOL. Board sent a message with dangerous protocol error. Cause: Wrong Protocol ID for Projected IO Board.;clc
fer.IFB_status_RUNLEVEL_cause_BUSY;1;2;La IFB %2% conectada al %1% ha cambiado a RUNLEVEL ERRÓNEO. Causa: La placa está funcionando correctamente pero está ocupada en este momento.;clc
fer.IFB_status_RUNLEVEL_cause_BUSY;5;2;IFB %2% connected to %1% has changed to WRONG RUNLEVEL. Cause: Board keeps on running in a correct way but it is busy at this moment.;clc
fer.IFB_status_RUNLEVEL_cause_DIAG;1;2;La IFB %2% conectada al %1% ha cambiado a RUNLEVEL ERRÓNEO. Causa: La placa está en modo diagnosis. No es seguro operar.;clc
fer.IFB_status_RUNLEVEL_cause_DIAG;5;2;IFB %2% connected to %1% has changed to WRONG RUNLEVEL. Cause: Board is in diagnosis mode. Operation is not safe.;clc
fer.IFB_status_SWVERSION;1;3;La IFB %2% conectada al %1% ha cambiado a VERSIÓN SW. La placa tiene una versión SW diferente de la primera placa conectada. Causa: Versión SW errónea: %3%.;clc
fer.IFB_status_SWVERSION;5;3;IFB %2% connected to %1% has changed to SW VERSION. The board has a SW version different from the first board connected. Cause: Wrong SW version: %3%.;clc
fer.IFB_status_WARNING_cause_REDUNDANT_POWER;1;2;La IFB %2% conectada al %1% ha cambiado a AVISO. La placa mandó un aviso en el campo de error del protocolo. Causa: Fallo en la alimentación redundante.;clc
fer.IFB_status_WARNING_cause_REDUNDANT_POWER;5;2;IFB %2% connected to %1% has changed to WARNING. Board sent a warning in error field from protocol. Cause: Fail in redundant power.;clc
fer.IFB_status_WARNING_cause_TEMPERATURE;1;2;La IFB %2% conectada al %1% ha cambiado a AVISO. La placa mandó un aviso en el campo de error del protocolo. Causa: Aviso en la temperatura de la placa.;clc
fer.IFB_status_WARNING_cause_TEMPERATURE;5;2;IFB %2% connected to %1% has changed to WARNING. Board sent a warning in error field from protocol. Cause: Warning in board temperature.;clc
fer.Station_ID_name;1;2;%1% - El identificador de la estación del FER es %2%.;clc
fer.Station_ID_name;5;2;%1% - The identification of FER station is %2%.;clc
fer.Version_EC_sw;1;2;La versión del software del EC del %1% es %2%.;clc
fer.Version_EC_sw;5;2;EC software version of %1% is %2%.;clc
fer.Version_IFB_sw;1;3;La versión del software de IFB%2% del %1% es %3%.;clc
fer.Version_IFB_sw;5;3;Software version of IFB%2% of %1% is %3%.;clc
invalid;1;0;Mensaje recibido no válido.;ence
invalid;1;0;Mensaje recibido del no válido.;node
invalid;1;0;Mensaje recibido del no válido.;rbc
invalid;5;0;Invalid message received:;clc
invalid;5;0;Invalid message received:;ence
invalid;5;0;Invalid message received:;node
invalid;5;0;Invalid message received:;rbc
invalid;5;0;Mensaje recibido del SAM-ENCE no válido.;samel
mmi.status.MMI_PCE_communication_DOWN;1;1;Conexión en FALLO entre MMI y %1%.;node
mmi.status.MMI_PCE_communication_DOWN;5;1;MMI connection with PCE%1% is FAILED.;node
mmi.status.MMI_PCE_communication_UP;1;1;Conexión ACTIVA entre MMI y %1%.;node
mmi.status.MMI_PCE_communication_UP;5;1;MMI connection with PCE%1% is ACTIVE.;node
node.network_adapter_DOWN;1;2;%2% FALLO/s de dispositivos de red en %1%.;node
node.network_adapter_DOWN;5;2;%2% Network device/s FAILED on %1%.;node
node.network_adapter_UP;1;1;Dispositivo/s de red recuperados en %1%.;node
node.network_adapter_UP;5;1;Network device/s RECOVERED on %1%.;node
node.node_DOWN;1;1;El %1% NO está disponible.;node
node.node_DOWN;5;1;%1% is NOT available.;node
node.node_UP;1;1;El %1% está ACTIVO.;node
node.node_UP;5;1;%1% is READY.;node
node.unit.monitor_detected_unit_DOWN;1;2;Conexión en FALLO entre %1% y %2%.;node
node.unit.monitor_detected_unit_DOWN;5;2;%1% connection with %2% is FAILED.;node
node.unit.monitor_detected_unit_UP;1;2;Conexión ACTIVA entre %1% y %2%.;node
node.unit.monitor_detected_unit_UP;5;2;%1% connection with %2% is ACTIVE.;node
node.unit.network_adapter_DOWN;1;2;%2% FALLO/s de dispositivos de red en %1%.;node
node.unit.network_adapter_DOWN;5;2;%2% Network device/s FAILED on %1%.;node
node.unit.network_adapter_UP;1;1;Dispositivo/s de red recuperados en %1%.;node
node.unit.network_adapter_UP;5;1;Network device/s RECOVERED on %1%.;node
node.unit.unit_DOWN;1;1;El %1% NO está disponible.;node
node.unit.unit_DOWN;5;1;%1% is NOT available.;node
node.unit.unit_UP;1;1;El %1% está ACTIVO.;node
node.unit.unit_UP;5;1;%1% is READY.;node
pce.status.PCE_CM_communication_DOWN;1;1;Conexión en FALLO entre %1% y CM.;node
pce.status.PCE_CM_communication_DOWN;5;1;CM connection with %1% is FAILED.;node
pce.status.PCE_CM_communication_UP;1;1;Conexión ACTIVA entre %1% y CM.;node
pce.status.PCE_CM_communication_UP;5;1;CM connection with %1% is ACTIVE.;node
rbc.channelstates.no;1;1;El estado del canal %1% es no disponible.;rbc
rbc.channelstates.no;5;1;Channel %1% state is not available.;rbc
rbc.channelstates.unknown;1;1;El estado del canal %1% es desconocido.;rbc
rbc.channelstates.unknown;5;1;Channel %1% state is unknown.;rbc
rbc.channelstates.yes;1;1;El estado del canal %1% es disponible.;rbc
rbc.channelstates.yes;5;1;Channel %1% state is available.;rbc
rbc.errorindication.cancellation;1;0;Orden cancelada;rbc
rbc.errorindication.cancellation;5;0;Order cancelled;rbc
rbc.errorindication.commandExecutionTemporarilyNotPossible;1;0;Ejecución de operaciones no posible temporalmente;rbc
rbc.errorindication.commandExecutionTemporarilyNotPossible;5;0;Command execution temporarily not possible;rbc
rbc.errorindication.commandNotSupported;1;0;Operación no soportada;rbc
rbc.errorindication.commandNotSupported;5;0;Command not supported;rbc
rbc.errorindication.corruptMessageReceived;1;0;Recibido mensaje corrupto;rbc
rbc.errorindication.corruptMessageReceived;5;0;Corrupt message received;rbc
rbc.errorindication.disapprovalAlreadyRunning;1;0;Desaprobación ya en ejecución;rbc
rbc.errorindication.disapprovalAlreadyRunning;5;0;Disapproval already running;rbc
rbc.errorindication.duplicateActivation;1;0;Activación duplicada;rbc
rbc.errorindication.duplicateActivation;5;0;Duplicate activation;rbc
rbc.errorindication.duplicateDeactivation;1;0;Desactivación duplicada;rbc
rbc.errorindication.duplicateDeactivation;5;0;Duplicate deactivation;rbc
rbc.errorindication.interface;1;0;Error en interfaz;rbc
rbc.errorindication.interface;5;0;Interface error;rbc
rbc.errorindication.maxNumOfLimitationExcceded;1;0;Número máximo de limitaciones superado;rbc
rbc.errorindication.maxNumOfLimitationExcceded;5;0;Maximum number of limitations exceeded;rbc
rbc.errorindication.maxNumOfUserExceeded;1;0;Máximo número de usuarios excedido;rbc
rbc.errorindication.maxNumOfUserExceeded;5;0;Maximum number of users exceeded;rbc
rbc.errorindication.messageNotExpected;1;0;Mensaje no esperado;rbc
rbc.errorindication.messageNotExpected;5;0;Message not expected;rbc
rbc.errorindication.noSuchObjectInstance;1;0;Objecto no instanciado;rbc
rbc.errorindication.noSuchObjectInstance;5;0;No such object instance;rbc
rbc.errorindication.noSuchUnit;1;0;Unidad no existente;rbc
rbc.errorindication.noSuchUnit;5;0;No such unit;rbc
rbc.errorindication.notSupportedFeatureSelected;1;0;Característica seleccionada no soportada;rbc
rbc.errorindication.notSupportedFeatureSelected;5;0;Feature selected is not supported;rbc
rbc.errorindication.nrbcIsAlreadyActivated;1;0;Rbc colaterial ya activado;rbc
rbc.errorindication.nrbcIsAlreadyActivated;5;0;Neighbour rbc is already activated;rbc
rbc.errorindication.nrbcIsAlreadyDeactivated;1;0;Rbc colateral ya desactivado;rbc
rbc.errorindication.nrbcIsAlreadyDeactivated;5;0;Neighbour rbc is already deactivated;rbc
rbc.errorindication.nrbcNotKnown;1;0;Rbc colateral inexistente;rbc
rbc.errorindication.nrbcNotKnown;5;0;Unknown neighbour rbc;rbc
rbc.errorindication.signalAlreadyPermanentUnconditionalExit;1;0;Señal de salida permantente incondicional ya en ejecución;rbc
rbc.errorindication.signalAlreadyPermanentUnconditionalExit;5;0;Signal for permanent unconditional exit already running;rbc
rbc.errorindication.signalNotSuitableForExit;1;0;Señal no apropiada para salida;rbc
rbc.errorindication.signalNotSuitableForExit;5;0;Signal not suitable for exit;rbc
rbc.errorindication.signalReportedMultipleTimes;1;0;Señal enviada repetidas veces;rbc
rbc.errorindication.signalReportedMultipleTimes;5;0;Signal reported mulitple times;rbc
rbc.errorindication.signallsNotTemporaryExit;1;0;Señales de salida no temporal;rbc
rbc.errorindication.signallsNotTemporaryExit;5;0;Signal not temporary exit;rbc
rbc.errorindication.speedRestrictionToLong;1;0;Restricción de velocidad demasiado larga;rbc
rbc.errorindication.speedRestrictionToLong;5;0;Speed restriction too long;rbc
rbc.errorindication.systemIsAlreadyApproved;1;0;Sistema ya autorizado;rbc
rbc.errorindication.systemIsAlreadyApproved;5;0;System is already approved;rbc
rbc.errorindication.systemIsAlreadyDisapproved;1;0;Sistema ya desautorizado;rbc
rbc.errorindication.systemIsAlreadyDisapproved;5;0;System is already disapproved;rbc
rbc.errorindication.systemNotOperational;1;0;Sistema no operativo;rbc
rbc.errorindication.systemNotOperational;5;0;System not operational;rbc
rbc.errorindication.timeout;1;0;Tiempo de espera sobrepasado;rbc
rbc.errorindication.timeout;5;0;Timeout;rbc
rbc.errorindication.transactionCollision;1;0;Colisión de comandos;rbc
rbc.errorindication.transactionCollision;5;0;Transaction collision;rbc
rbc.errorindication.unknown;1;0;Error desconocido;rbc
rbc.errorindication.unknown;5;0;Unknown error;rbc
rbc.errorindication.userAlreadyExists;1;0;Usuario ya existente;rbc
rbc.errorindication.userAlreadyExists;5;0;User already exists;rbc
rbc.errorindication.userNotDeleted;1;0;Usuario no borrado;rbc
rbc.errorindication.userNotDeleted;5;0;User not deleted;rbc
rbc.errorindication.userUnknown;1;0;Usuario desconocido;rbc
rbc.errorindication.userUnknown;5;0;Unknown user;rbc
rbc.errorindication.wrongAxleLoad;1;0;Carga por eje incorrecta;rbc
rbc.errorindication.wrongAxleLoad;5;0;Wrong axled load;rbc
rbc.errorindication.wrongCoordinate;1;0;Coordenadas incorrectas;rbc
rbc.errorindication.wrongCoordinate;5;0;Wrong coordinate;rbc
rbc.errorindication.wrongEncryptedPassword;1;0;Contraseña encriptada incorrecta;rbc
rbc.errorindication.wrongEncryptedPassword;5;0;Wrong encrypted password;rbc
rbc.errorindication.wrongIndexOrID;1;0;Indice o ID incorrectos;rbc
rbc.errorindication.wrongIndexOrID;5;0;Wrong index or id;rbc
rbc.errorindication.wrongSafetyCode;1;0;Código de seguridad incorrecto;rbc
rbc.errorindication.wrongSafetyCode;5;0;Wrong safety code;rbc
rbc.errorindication.wrongSpeed;1;0;Velocidad incorrecta;rbc
rbc.errorindication.wrongSpeed;5;0;Wrong speed;rbc
rbc.errorindication.wrongTAN;1;0;TAN incorrecto;rbc
rbc.errorindication.wrongTAN;5;0;Wrong TAN;rbc
rbc.errorindication.wrongTrackEdge;1;0;Segmento de vía incorrecto;rbc
rbc.errorindication.wrongTrackEdge;5;0;Wrong track edge;rbc
rbc.errorindication.wrongTrainCategory;1;0;Categoría de tren incorrecta;rbc
rbc.errorindication.wrongTrainCategory;5;0;Wrong train category;rbc
rbc.status.RBC_APPROVED;1;1;El estado logico de %1% es aprobado.;rbc
rbc.status.RBC_APPROVED;5;1;El estado logico de %1% es aprobado.;rbc
rbc.status.RBC_CONNECTED;1;1;La conexión con %1% está ACTIVA.;rbc
rbc.status.RBC_CONNECTED;5;1;La conexión con %1% está ACTIVA.;rbc
rbc.status.RBC_DOWN;1;2;Conexión en FALLO entre %2% y %1%.;rbc
rbc.status.RBC_DOWN;5;2;%1% connection with %2% is FAILED.;rbc
rbc.status.RBC_FAILED;1;1;La conexión con %1% está en FALLO.;rbc
rbc.status.RBC_FAILED;5;1;La conexión con %1% está en FALLO.;rbc
rbc.status.RBC_INITIALIZED;1;1;El estado logico de %1% es inicializado.;rbc
rbc.status.RBC_INITIALIZED;5;1;El estado logico de %1% es inicializado.;rbc
rbc.status.RBC_NOT_APPROVED;1;1;El estado logico de %1% es no autorizado.;rbc
rbc.status.RBC_NOT_APPROVED;5;1;El estado logico de %1% es no autorizado.;rbc
rbc.status.RBC_UNKNOWN;1;1;El estado logico de %1% es desconocido.;rbc
rbc.status.RBC_UNKNOWN;5;1;El estado logico de %1% es desconocido.;rbc
rbc.status.RBC_UP;1;2;Conexión ACTIVA entre %2% y %1%.;rbc
rbc.status.RBC_UP;5;2;%1% connection with %2% is ACTIVE.;rbc
